id,name,description,glottocode,family,family_glottocode,color
bantoid,Bantoid,,bant1294,Atlantic-Congo,atla1278,ffff00
khoekwadi,Khoe-Kwadi,,khoe1240,,,00ffff
tuu,Tuu,,tuuu1241,,,66ff33
kxa,Kx'a,,kxaa1236,,,990099
germanic,Germanic,,germ1287,Indo-European,indo1319,dd0000
dogon,Dogon,,dogo1299,,,ffffff
cushitic,Cushitic,,cush1243,Afro-Asiatic,afro1255,000000
isolated,Isolated,,,,,00ff00
nilotic,Nilotic,,nilo1247,,,800000
mbaic,Mbaic,,mbai1246,Atlantic-Congo,atla1278,800080
lendu,Lendu,,lend1246,Central-Sudanic,cent2225,8000ff
semitic,Semitic,,semi1276,Afro-Asiatic,afro1255,ffc040
mangbetuasua,Mangbetu-Asua,,mang1424,Central-Sudanic,cent2225,c000c0
zandic,Zandic,,zand1246,Atlantic-Congo,atla1278,400080
kuliak,Kuliak,,kuli1252,,,c00040
