id,name,description
animalfeeding,animal feeding,
artscrafts,arts & crafts,
boats,boats,
clothingtextiles,clothing & textiles,
construction,construction,
cosmeticshygiene,cosmetics & hygiene,
dyetanning,dye & tanning,
fences,fences,
fibre,fibre,
fooddrinks,food & drinks,
fuel,fuel,
furniture,furniture,
gamesrecreation,games & recreation,
householditems,household items,
huntingfishing,hunting & fishing,
jewelleryadornment,jewellery & adornment,
medicinehealing,medicine & healing,
musicalinstruments,musical instruments,
narcotics,narcotics,
other,other,
religioususage,religious usage,
ritual,ritual,
shade,shade,
tools,tools,
trade,trade,
transportation,transportation,
washingcleaning,washing & cleaning,
